,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,like
313,A$AP Rocky,A$AP Forever (feat. Moby),A$AP Forever (feat. Moby),1YmF9PvLhIISIANoMLIYGq,0.469,0.78,10,-6.49,0,0.122,0.0,0.13,0.444,125.999,233061,4,True
314,A$AP Rocky,TESTING,Praise The Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z,0.854,0.569,5,-8.151,0,0.106,0.0816,0.1,0.294,80.015,205040,4,True
315,A$AP Rocky,TESTING,Fukk Sleep (feat. FKA twigs),1AqemxWsT0iGg5Lvkm16Bt,0.798,0.412,2,-9.305,1,0.36,7.43e-05,0.219,0.304,135.959,192973,4,True
316,A$AP Rocky,Multiply (feat. Juicy J),Multiply (feat. Juicy J),21tQ61tNj6qbXbDwmSIPt9,0.904,0.783,0,-4.475,1,0.145,0.0,0.149,0.176,114.952,223053,4,True
317,Shoreline Mafia,Shoreline Mafia Presents Rob Vicious: Traplantic,"Bands (feat. OhGeesy, Fenix Flexin & Master Kato)",1n8wr8tRHs5jmBxNWXedcn,0.9,0.385,1,-12.189,0,0.435,0.0,0.142,0.488,99.964,174336,4,True
318,Gunna,Sold Out Dates (feat. Lil Baby),Sold Out Dates (feat. Lil Baby),72LlwJM24dWKpFLVB3PWWQ,0.824,0.554,4,-7.118,0,0.115,0.0,0.124,0.316,127.003,166298,4,True
319,Blueface,Famous Cryp,Thotiana,3oh6SCCeLuXhFpEyepla6G,0.906,0.382,10,-12.89,0,0.269,0.0,0.113,0.391,104.025,129264,4,True
320,Blueface,Bleed It,Bleed It,67fNrBUMc7iWMofdCaoJV9,0.845,0.76,1,-6.007,0,0.357,0.0,0.107,0.558,101.865,145520,4,True
321,6ix9ine,DUMMY BOY,WAKA,6o79O9qBP3OAkWOXajAQIS,0.772,0.812,0,-3.995,0,0.153,0.0,0.115,0.655,97.407,128769,4,True
322,Marshmello,Project Dreams,Project Dreams,6GSkLS2y4ZnnZsuRAj975K,0.78,0.828,8,-2.235,1,0.237,0.0,0.104,0.786,160.113,167898,4,True
323,Lil Skies,Opps Want Me Dead,Opps Want Me Dead,5cEbtwig1FXW8RF6FSxRU1,0.779,0.591,8,-8.504,1,0.344,0.0,0.1,0.501,86.02,167442,4,True
324,Blueface,Famous Cryp,Respect My Cryppin’,5THQbSmeQ8iykxgK1om8Gk,0.816,0.419,8,-9.291,1,0.49,0.0,0.0886,0.189,96.072,141037,4,True
325,Juice WRLD,Robbery,Robbery,44ShclXTOOnYtt5CnCDeGV,0.708,0.691,2,-5.179,1,0.0442,0.0,0.222,0.535,79.99,240527,4,True
326,Travis Scott,Rodeo (Expanded Edition),Maria I'm Drunk (feat. Justin Bieber & Young Thug),6Yqmv7XJLCrQEauMbPGZSw,0.648,0.631,4,-5.662,0,0.103,0.0,0.12,0.142,105.989,349933,4,True
327,A Boogie Wit da Hoodie,Hoodie SZN,Swervin (feat. 6ix9ine),1wJRveJZLSb1rjhnUHQiv6,0.581,0.662,9,-5.239,1,0.303,0.0,0.111,0.434,93.023,189487,4,True
328,A Boogie Wit da Hoodie,Hoodie SZN,Look Back at It,3Ol2xnObFdKV9pmRD2t9x8,0.791,0.587,3,-5.075,0,0.0413,0.0,0.148,0.536,96.057,179449,4,True
329,Ski Mask The Slump God,STOKELEY,Faucet Failure,1ThmUihH9dF8EV08ku5AXN,0.935,0.552,10,-9.373,0,0.335,0.0,0.0952,0.615,99.993,145627,4,True
330,Lil Skies,Real Ties,Real Ties,0Qd2KYCmwGYiTF3A0opS6b,0.819,0.616,1,-5.534,1,0.167,0.0,0.143,0.524,87.493,142669,4,True
331,Blueface,Famous Cryp,Dead Locs,0lYAit4ExwX3Kr8W6AaBw3,0.819,0.431,8,-12.481,0,0.512,0.0,0.109,0.531,103.973,133885,4,True
332,Juice WRLD,Death Race For Love,Rider,3usM520kfIRpWNaYOwdnYI,0.583,0.815,7,-4.257,1,0.0365,0.0,0.413,0.451,140.031,192094,4,True
333,Roddy Ricch,Feed Tha Streets II,Die Young,3wLtYwtqvKK2ewelSVPeDK,0.688,0.656,4,-5.541,0,0.276,0.0,0.115,0.365,160.414,157657,4,True
334,Lil Baby,Street Gossip,Pure Cocaine,577YBGuskWkVDCxZrLRB4v,0.964,0.487,10,-6.071,0,0.421,6.57e-06,0.115,0.107,127.05,154024,4,True
335,Blueface,Next Big Thing,Next Big Thing,1skbBRLhikv2HatJlAIAzL,0.785,0.655,9,-5.954,0,0.323,0.0,0.192,0.445,104.954,97396,4,True
336,Blueface,Famous Cryp,Freak Bitch,2runM0t9q45HcLuGbvBPv2,0.877,0.548,9,-9.788,1,0.483,0.0,0.218,0.425,99.96,105626,4,True
337,Lil Baby,Drip Harder,"Never Recover (Lil Baby & Gunna, Drake)",6wWaVoUOzLQJHd3bWAUpdZ,0.753,0.686,1,-5.415,0,0.284,0.0,0.193,0.886,132.055,194732,4,True
338,Shoreline Mafia,ShorelineDoThatShit,Musty,2bkKnaLTMCghmjlcPBoYWd,0.833,0.203,10,-12.456,0,0.211,5.91e-06,0.124,0.04,100.023,161558,4,True
339,Shoreline Mafia,ShorelineDoThatShit,Whuss The Deal,64FxpKdU055iIaMDY441Qc,0.837,0.403,2,-10.053,1,0.33,0.000511,0.225,0.2,82.517,195636,4,True
340,Mike Sherm,Chasin Chicken,Jackass,34GDyy3qGMH9PebVhoGEWg,0.941,0.637,9,-8.187,1,0.487,0.0,0.0617,0.32,97.036,143778,4,True
341,Travis Scott,ASTROWORLD,CAN'T SAY,27a1mYSG5tYg7dmEjWBcmL,0.702,0.708,10,-5.366,0,0.0547,0.0,0.118,0.713,147.98,198408,4,True
342,Shoreline Mafia,ShorelineDoThatShit,Nun Major,18pwD0HrweX8oCgIkayRb4,0.79,0.518,8,-6.571,1,0.212,0.0,0.357,0.487,97.986,151837,4,True
343,SOB X RBE,SOB X RBE,Calvin Cambridge,4HK9Ive4wK7426QXxQZS6L,0.776,0.678,2,-4.505,1,0.376,0.0,0.363,0.81,181.872,148376,4,True
344,SOB X RBE,SOB X RBE,Anti,3BVC9lRwjgKrWwDxgFAKA8,0.702,0.785,7,-6.842,0,0.743,0.0,0.0682,0.647,132.857,169017,3,True
345,SOB X RBE,SOB X RBE,Lane Changing,7BkVZRHhZpKfgRtRpbb76j,0.925,0.869,7,-5.64,1,0.338,0.0,0.214,0.731,109.96,192070,4,True
346,Mike Sherm,Hot Nigga,Hot Nigga,6P1XtHEPUFa7vLYFssqTOc,0.86,0.553,2,-9.096,1,0.0665,0.056,0.264,0.131,106.985,96095,4,True
347,SAFE,Paid In Full,Paid In Full,1CFbMhxQjCT3OH3YLvBkNF,0.752,0.64,10,-4.758,1,0.293,0.0,0.175,0.647,152.946,202080,4,True
348,Travis Scott,ASTROWORLD,NO BYSTANDERS,6OaVWaGfhXn70ZJfdVcabn,0.731,0.811,1,-3.225,1,0.0712,0.0,0.411,0.426,147.045,218284,4,True
349,Mike Sherm,Asshole,Asshole,6aD0Es1eyfVqpYZKJm9WkC,0.783,0.598,10,-10.59,1,0.292,0.0,0.118,0.452,97.011,160713,4,True
350,Cash Kidd,BeBe Kidd 2,Privileges,5Lkge8ZPF9LlrHcaRjO1HJ,0.724,0.664,5,-9.438,0,0.387,0.0,0.219,0.45,90.778,202136,4,True
351,Tee Grizzley,Activated,Fuck It Off (feat. Chris Brown),3jGYpYY6jm48GArqKDnuwG,0.801,0.578,1,-7.148,1,0.201,0.0,0.185,0.126,100.032,147600,4,True
352,AzChike,Burn Rubber Again (Remix),Burn Rubber Again - Remix,10QngEY3ml2yPt54ZyyP7z,0.835,0.57,2,-9.479,0,0.109,4.75e-06,0.0784,0.377,99.964,169482,4,True
353,YG,4REAL 4REAL,Stop Snitchin (feat. DaBaby) - Remix,4rbYZZkMTz1TTty0if3oRv,0.924,0.722,7,-3.822,1,0.252,0.0,0.145,0.598,90.465,136733,4,True
354,Polo G,Pop Out (feat. Lil Tjay),Pop Out (feat. Lil Tjay),5AjINjwKyRvQJhSe2zpPHi,0.861,0.621,1,-7.106,1,0.362,0.0,0.0689,0.254,83.976,166640,4,True
355,Lil Uzi Vert,Sanguine Paradise,Sanguine Paradise,3XiNC94b4Tq1xwv70sQJGN,0.729,0.603,6,-6.736,0,0.0666,0.0,0.113,0.207,134.972,243976,4,True
356,Polo G,Die A Legend,Finer Things,7oBW80497A8axagr4aC9U6,0.506,0.45,2,-12.565,1,0.364,0.000225,0.103,0.131,177.978,182387,4,True
357,Kamaiyah,A Good Night in the Ghetto,Fuck It up (feat. Yg),4rr19p6NPfg8oUazZQnkS8,0.634,0.669,0,-7.369,1,0.0682,0.0,0.552,0.431,98.044,141845,4,True
358,Polo G,Neva Cared,Neva Cared,3UnYMo1aeD0o8VtHy3R8cs,0.822,0.35,1,-12.207,0,0.574,0.0,0.0757,0.346,77.528,186000,4,True
359,Ellie Goulding,Hate Me (with Juice WRLD),Hate Me (with Juice WRLD),6kls8cSlUyHW2BUOkDJIZE,0.657,0.768,8,-4.628,1,0.0507,0.0,0.144,0.759,75.025,186223,4,True
360,NLE Choppa,Shotta Flow (Feat. Blueface) [Remix],Shotta Flow (Feat. Blueface) [Remix],67XyC1GdSkKb9sbRRkUDXS,0.894,0.511,2,-4.768,1,0.42,0.0,0.14,0.568,120.08,176632,4,True
361,YoungBoy Never Broke Again,Decided,Murda (feat. Trippie Redd),2CEXhYY4cGmjyTyZJw7Wo0,0.691,0.566,4,-5.213,0,0.227,0.0,0.106,0.291,147.982,183682,4,True
362,Lil Tecca,We Love You Tecca,Count Me Out,3nZxBgflsmuhfRQ74Q9Mbd,0.835,0.637,4,-6.582,0,0.271,0.0,0.142,0.712,102.039,174093,4,True
363,Lil Tecca,We Love You Tecca,Shots,6eSU1exzDvBEXmBRxspeh5,0.829,0.582,7,-5.721,0,0.0415,0.0,0.0759,0.51,108.028,109373,4,True
364,Travis Scott,HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,0.598,0.427,7,-8.764,0,0.0317,5.83e-06,0.21,0.0605,76.469,175721,4,True
365,Pimp Tobi,Pimpin Since the Playground,YellowTape,49zPXubLmmzf6Rxl9DiolU,0.925,0.627,1,-10.441,1,0.38,0.0,0.0418,0.934,100.016,148271,4,True
366,Travis Scott,Birds In The Trap Sing McKnight,coordinate,7pas6O1LYbaeChEFQBhPFU,0.688,0.658,1,-4.155,1,0.0695,1.89e-06,0.335,0.28,75.615,226397,4,True
367,Juice WRLD,Bandit (with YoungBoy Never Broke Again),Bandit (with YoungBoy Never Broke Again),6Gg1gjgKi2AK4e0qzsR7sd,0.474,0.631,5,-5.884,0,0.343,0.0,0.132,0.425,180.051,189323,4,True
368,Lil Tecca,We Love You Tecca,Ransom,1lOe9qE0vR9zwWQAOk6CoO,0.745,0.642,7,-6.257,0,0.287,0.0,0.0658,0.226,179.974,131240,4,True
369,SOB X RBE,GANGIN,Always,4CH18IBgxzC4uTeDXROLow,0.817,0.664,1,-8.158,1,0.0576,0.0,0.0663,0.204,98.153,208222,4,True
370,Vinny West,DRAFT DAY,No Face No Case,3ZIc9JjtVQadMkew71IhLf,0.953,0.374,4,-11.926,0,0.39,0.0,0.27,0.525,102.998,191687,4,True
371,Lil Mosey,Stuck In A Dream (feat. Gunna),Stuck In A Dream (feat. Gunna),5hDAT527wXWNBnJlujhuUs,0.753,0.652,10,-5.943,0,0.0753,0.0,0.117,0.745,139.962,123560,4,True
372,Roddy Ricch,Big Stepper,Big Stepper,5MVdzbNmCVf9cWbkqFakkr,0.753,0.597,8,-8.469,1,0.292,0.0,0.197,0.616,76.997,175170,4,True
373,YoungBoy Never Broke Again,Until Death Call My Name (Reloaded),Through the Storm,7bOlOJHn9IOaXX7IwaK905,0.881,0.581,5,-5.162,1,0.0901,0.0,0.0986,0.876,78.508,163567,4,True
374,DaBoii,Young Wild Nigga,Mufasa,5Hr5ixEoJRSyEVEQ5XEJSm,0.91,0.758,5,-5.606,0,0.342,0.0,0.315,0.805,110.046,196290,4,True
375,Sean Paul,When It Comes To You (Remixes),When It Comes To You - Benny Benassi & BB Team Remix,2k4c9ZAlIYHyXiJ4i20FO7,0.789,0.893,10,-4.364,0,0.168,0,0.221,0.41,121.956,144073,4,True
376,Tiësto,BLUE (Remixes),BLUE - Mike Williams Remix,10WrTQMhZu2gocF8UB6obr,0.644,0.921,11,-3.201,1,0.045,0.000371,0.355,0.577,128.015,191733,4,True
377,R3HAB,All Around the World (La La La),All Around The World (La La La),2xyIwHKujL7tSgkK2Waj2s,0.733,0.859,9,-5.03,0,0.033,0.0645,0.105,0.52,124.948,147840,4,True
378,Clean Bandit,Mama (feat. Ellie Goulding) [Tiësto’s Big Room Remix],Mama (feat. Ellie Goulding) - Tiësto’s Big Room Remix,3Mong1BzxMKwTZ0SbfLdcQ,0.684,0.95,1,-2.588,0,0.0809,1.25e-06,0.105,0.436,125.974,156168,4,True
379,Estelle,American Boy (Brooks Remix),American Boy - Brooks Remix,6B2NRQjtSOtqi67d72r5cx,0.609,0.764,5,-4.564,0,0.111,0,0.197,0.531,128.082,200625,4,True
380,Regard,Ride It (Jonas Blue Remix),Ride It - Jonas Blue Remix,2ONRkpOJ6X91GMXMthtT0M,0.689,0.946,7,-3.814,0,0.0397,0.00189,0.262,0.392,125.037,182400,4,True
381,Mike Williams,Kylie,Kylie,45Zx6DyqGKKmvfxfzRUtKl,0.753,0.912,8,-2.636,0,0.108,0,0.346,0.702,124.062,158710,4,True
382,Nea,Some Say (Felix Jaehn Remix),Some Say - Felix Jaehn Remix,7C1trmcQQ5n5RNy4l6ziCv,0.682,0.7,6,-5.591,1,0.0397,0,0.174,0.637,120.03,186878,4,True
383,Yves V,Not So Bad (feat. Emie),Not So Bad (feat. Emie),1XFHbzTikXks9CsMq4v8Q3,0.74,0.674,11,-4.374,1,0.0476,0.238,0.154,0.231,126.017,153697,4,True
384,Regard,Ride It,Ride It,2tnVG71enUj33Ic2nFN6kZ,0.88,0.751,7,-4.258,0,0.0874,6.43e-05,0.106,0.884,117.948,157606,4,True
385,Jax Jones,Snacks,All Day And Night,5naYe7rLMZcLfO1DKg48MK,0.567,0.765,1,-4.107,0,0.108,0,0.14,0.541,121.924,169467,4,True
386,Drenchill,Never Never (feat. Indiiana),Never Never (feat. Indiiana),40NKYSkaTC4F62QbIVJ8S6,0.742,0.853,9,-5.392,1,0.199,0.00205,0.21,0.233,125.985,167002,4,True
387,CLMD,DANCE,DANCE,6TfeXwJihJRuBW3mFpib6J,0.766,0.548,7,-7.834,1,0.0373,1.81e-06,0.21,0.552,122.012,174448,4,True
388,Sevenn,Loco Papi,Loco Papi,5EuVplVa6I5vbAUBuCRnvS,0.759,0.987,6,-2.516,0,0.0928,0.788,0.268,0.786,124.992,178560,4,True
389,Dwin,LaLaLaLaLa (Gaullin Remix),LaLaLaLaLa - Gaullin Remix,1q2yJEPlzwaJmDrXeof7z0,0.883,0.857,4,-7.272,0,0.23,0.403,0.0629,0.0954,127.07,185240,4,True
390,Drenchill,Freed from Desire (feat. Indiiana),Freed from Desire (feat. Indiiana),1lr5prHQn7Q766Ix6eGRKK,0.789,0.758,2,-4.957,0,0.114,0,0.0711,0.147,126.0,161453,4,True
391,Angelika Vee,Coco Jamboo (Remixes) - Single,Coco Jamboo - Calippo Remix Edit,4DfF4g9549dBiqpk63lEO8,0.761,0.866,11,-4.525,0,0.119,0.0383,0.17,0.366,122.005,200164,4,True
392,Tujamo,Getting Money (feat. 808Charmer),Getting Money (feat. 808Charmer),0gAzbmv09r6JwHUKWl1xkz,0.811,0.948,11,-4.138,1,0.0988,0.000231,0.341,0.524,124.98,157118,4,True
393,VIZE,Thank You [Not So Bad],Thank You [Not So Bad],4AqN8IdKCfItCSbuaFch81,0.656,0.89,5,-4.981,0,0.187,1.99e-06,0.101,0.268,100.037,197963,4,True
394,Bodybangers,Ready Or Not (Here I Come),Ready Or Not (Here I Come),6rzzhLcIlRf1oCYHE3JJgs,0.753,0.787,10,-3.984,0,0.258,4.41e-05,0.094,0.645,124.908,180480,4,True
395,GAMPER & DADONI,Gimme! Gimme! Gimme!,Gimme! Gimme! Gimme!,4zLSkwZaiMfzzapPCbdG90,0.62,0.748,2,-5.36,0,0.058,0.016,0.0729,0.417,125.999,187069,4,True
396,Nightcrawlers,Push The Feeling On,Push The Feeling On - Mk Dub Revisited Edit,1EWsVHU4FNAdtN4R8FETag,0.793,0.5,6,-13.108,0,0.0319,1.96e-05,0.186,0.833,123.017,243160,4,True
397,Lika Morgan,Discovery Channel,Discovery Channel,0Z3dF1vcTuTcNJe0OhKtlw,0.81,0.707,11,-5.429,0,0.0467,0.0115,0.146,0.395,122.014,212336,4,True
398,Hr. Troels,Lambada,Lambada,1JyRjcUxnDd0TaR5Sd0V3c,0.689,0.795,2,-4.633,0,0.0627,3.17e-06,0.123,0.513,126.082,186667,4,True
399,Steve Aoki,Neon Future IV (Remixes),Popcorn - GATTÜSO Remix,01cyz8ub1ZWbg4auDr0ekF,0.67,0.986,7,-0.989,0,0.054,0.251,0.207,0.215,128.004,206922,4,True
400,W&W,How Many,How Many,64BbRFQBFPpSKhmCZ5w7K1,0.554,0.884,4,-3.548,0,0.108,0.000225,0.132,0.229,128.036,168250,4,True
401,DJ Antoine,Sky is the Limit (Deluxe Version),You're Ma Cherie - DJ Antoine vs Mad Mark 2k13 Radio Edit,11JZQ04PQgFIa2nBa1zoJQ,0.752,0.66,8,-4.709,1,0.258,1.42e-05,0.384,0.799,127.89,191550,4,True
402,Jerome,Take My Hand,Take My Hand,3PshEpasqRF5ALO7NX3Guc,0.797,0.782,0,-4.024,0,0.0894,0,0.0848,0.345,134.999,162667,4,True
403,Cheat Codes,No Promises (feat. Demi Lovato),No Promises (feat. Demi Lovato),5lNuqFVMca4vPupY10cH0J,0.739,0.619,10,-6.669,1,0.162,0,0.105,0.58,112.961,222787,4,True
404,Zeds Dead,Stars Tonight,Stars Tonight,7qEb82neL4upEhMUrkljpa,0.645,0.875,8,-5.481,0,0.0936,0.847,0.193,0.519,155.109,173427,4,True
405,Excision,Apex,Gold (Stupid Love),1dlJQt9NLH5iFCIeiVz5lX,0.363,0.735,1,-3.857,1,0.0428,0.000119,0.13,0.0721,145.556,295890,4,True
406,ILLENIUM,Awake,Crawl Outta Love,0q7oMII7kWTj1ZSX6GT6LU,0.376,0.723,7,-2.951,1,0.046,0,0.0815,0.167,84.146,242012,4,True
407,Excision,Apex,Home,0AuFxpp4TJyybt9vv5fUnQ,0.38,0.799,1,-2.473,1,0.0604,1.05e-05,0.101,0.181,75.588,237417,4,True
408,Jai Wolf,Indian Summer,Indian Summer,42nkVBjWYVhiijbof5zySm,0.507,0.824,6,-2.501,1,0.0526,0.0451,0.0848,0.0394,84.992,248471,4,True
409,Seven Lions,Worlds Apart,Strangers,2U0pVx4m1Kdm1Gsjjm6iq8,0.579,0.697,0,-7.429,0,0.0394,1.6e-06,0.157,0.49,129.967,204213,4,True
410,3LAU,On My Mind,On My Mind,1UFq2OJXahilmefKhSIA8p,0.685,0.716,0,-5.64,0,0.0284,0.00961,0.412,0.202,122.016,184918,4,True
411,Cash Cash,How to Love (feat. Sofia Reyes) [Remixes],How to Love (feat. Sofia Reyes) - Boombox Cartel Remix,22S5BO6h7JIOjg2Uw88l8e,0.548,0.895,9,-1.988,0,0.102,0,0.0816,0.682,150.122,168200,4,True
412,Various Artists,Rush Over Me,Rush Over Me,6BDLcvvtyJD2vnXRDi1IjQ,0.441,0.753,0,-4.074,1,0.044,0,0.027,0.254,135.015,259556,4,True
413,k?d,Lose Myself,Lose Myself,6rOhRpCeWjFirOXT1C9KS2,0.465,0.816,9,-3.399,1,0.0926,3.63e-05,0.0891,0.343,192.041,230246,4,True
414,Jai Wolf,The Cure To Loneliness,Lose My Mind (feat. Mr Gabriel),0zEKfIm5b8EUcDM3qoPXKX,0.606,0.775,0,-6.038,0,0.04,0.498,0.305,0.508,140.013,258547,4,True
415,ILLENIUM,Awake,Fractures,4G3IXyVRxSx5lLhUvv3fu3,0.41,0.711,4,-3.064,1,0.0432,0.00179,0.139,0.266,159.837,245250,4,True
416,Kaskade,Automatic,Disarm You (feat. Ilsey),3xQjivjUZ4KnUslduTEYKC,0.446,0.793,5,-3.912,0,0.0556,4.14e-05,0.159,0.313,127.799,221133,4,True
417,Loud Luxury,Sex Like Me (feat. DYSON),Sex Like Me (feat. DYSON),50Q2bTYSMrDn4DS5FYbNZJ,0.754,0.778,6,-6.09,0,0.109,0.000103,0.14,0.369,123.125,176585,4,True
418,Kid Cudi,Pursuit Of Happiness [Extended Steve Aoki Remix (Explicit)],Pursuit Of Happiness - Extended Steve Aoki Remix (Explicit),5PX4uS1LqlWEPL69phPVQQ,0.722,0.687,0,-5.189,1,0.0556,0.00413,0.0462,0.619,128.013,373627,4,True
419,Steve Aoki,Are You Lonely (feat. ISÁK),Are You Lonely (feat. ISÁK),52EB2Gk1nkxZmbomJOXUde,0.517,0.793,6,-5.851,0,0.0367,0.00046,0.0892,0.176,90.06,157333,4,True
420,Steve Aoki,Neon Future III,Lie To Me (feat. Ina Wroldsen),6Y9OhYhJFYjG7fUWJDFcI3,0.624,0.819,3,-2.857,0,0.0496,0.000287,0.282,0.638,109.759,179094,4,True
421,Steve Aoki,Just Hold On,Just Hold On,3EmmCZoqpWOTY1g2GBwJoR,0.647,0.932,11,-3.515,1,0.0824,1.5e-06,0.0574,0.374,114.991,198774,4,True
422,The Chainsmokers,World War Joy...Takeaway,Takeaway (feat. Lennon Stella),6wo37KVqFJhtuxPTpLCcfe,0.294,0.505,3,-8.106,1,0.042,0,0.0977,0.357,85.332,209893,1,True
423,3LAU,Better With You,Better With You,3D37T7euWvVJ45evRmriIh,0.571,0.752,3,-4.872,1,0.0293,6.92e-05,0.114,0.25,102.043,192941,4,True
424,ILLENIUM,ASCEND,Take You Down,6f1oG9hTx3NETgV6q4rkw5,0.275,0.657,11,-3.9,1,0.0431,0.000148,0.305,0.219,169.638,221398,4,True
425,San Holo,Light,Light,6jq6rcOikCZAmjliAgAmfT,0.57,0.763,1,-4.137,1,0.0573,2.49e-06,0.0932,0.43,150.088,239853,4,True
426,Gryffin,Gravity Pt. 1,Nobody Compares To You (feat. Katie Pearlman),2Un9MGFwpGdGU9yl9KOvXx,0.585,0.744,2,-4.751,1,0.0419,0,0.195,0.349,104.919,231383,4,True
427,R3HAB,The Wave,Lullaby,4BLEnHP1FInl1u3xAbgI4n,0.626,0.8,1,-3.988,0,0.035,0.000133,0.0623,0.26,127.965,160184,4,True
428,Excision,Apex,Die For You,3ssJPgwPQYRRmQMvJV2hJH,0.15,0.889,8,-0.763,0,0.284,0.07,0.31,0.361,74.978,239120,4,True
429,Klaas,Ok Without You,Ok Without You,7GvzyeeBMoDlC9OziuPMQQ,0.665,0.787,6,-6.026,0,0.099,0.000428,0.539,0.252,124.989,170880,4,True
430,David Guetta,7,Let It Be Me (feat. Ava Max),2F83FxNVkK6PPMHuYnwyVc,0.743,0.529,7,-6.187,0,0.0505,0,0.181,0.438,102.048,172933,4,True
431,Teminite,Firepower,Firepower,4XDSPU97OhnuX8gq2ma2Pc,0.446,0.819,1,-6.01,1,0.0594,0.708,0.0864,0.588,170.073,279493,4,True
432,Indy,On a Roll,On a Roll,7mTkUSXs9eHEu3Ghy1G5Oh,0.682,0.742,9,-4.674,1,0.341,0.0,0.127,0.449,160.143,192566,4,True
433,DP Beats,"Don't Play (feat. Lil Uzi Vert, Lil Tracy, Yung Bans)","Don't Play (feat. Lil Uzi Vert, Lil Tracy, Yung Bans)",1aVNycqVndjTX5zRE757hj,0.755,0.339,9,-11.688,0,0.275,0.0,0.102,0.428,77.524,150168,4,True
434,Vicetone,Astronomia,Astronomia,3hWfKBt3n7j1xqIy6LA5ve,0.653,0.945,5,-2.634,1,0.096,0.915,0.439,0.326,126.093,198095,4,True
435,Cascada,Best of Cascada,Everytime We Touch - B3nte Remix,0M99gmv9fzBnapwFNgFR9H,0.618,0.923,8,-2.097,1,0.0949,1.14e-05,0.331,0.293,128.204,185183,4,True
436,K-391,Play,Play,4jp4Z02kzzg8gK0NmDGgml,0.52,0.798,6,-5.498,0,0.0391,0.0,0.0932,0.168,101.944,167977,4,True
437,SAINt JHN,Roses (Imanbek Remix),Roses - Imanbek Remix,24Yi9hE78yPEbZ4kxyoXAI,0.77,0.724,8,-5.484,1,0.0495,0.0107,0.353,0.898,121.975,176840,4,True
438,metr,Rhythm of the Night,Rhythm of the Night,4hFG8nbAwO2PATnq5fSJEw,0.612,0.816,2,-10.604,0,0.0341,0.138,0.0649,0.702,127.903,159385,4,True
439,Bebe Rexha,I'm a Mess (Remixes),I'm a Mess - Ofenbach Remix,5izJoFeYASIvsVNtMSHSpi,0.678,0.823,11,-3.873,0,0.0325,3.04e-06,0.177,0.498,120.038,164894,4,True
440,De-Grees,Just Dance / Circle in the Sand,Just Dance - Ti-Mo vs. Stefan Rio Remix Edit,5dXnGGt6bl7nUaOPLFV7QF,0.64,0.994,1,-4.646,0,0.0349,0.00107,0.398,0.793,142.002,191018,4,True
441,Scooter,Encore - Live and Direct,Nessaja,2zhGnnDewN4kBsVzbqjBtX,0.492,0.901,2,-7.03,1,0.045,0.0486,0.186,0.104,143.014,208933,4,True
442,Mashd N Kutcher,Need Me (The Remixes),Need Me - Jesse Bloch Remix,2Zas2J5jmKyH2xZC8hGUap,0.676,0.823,11,-5.272,0,0.0543,0.0,0.054,0.388,128.089,187500,4,True
443,MEDIKAL,Destination Calabria,Destination Calabria,7pQ4aLqPhmY9YTZ2EmCq9n,0.71,0.54,2,-10.135,1,0.159,0.00143,0.348,0.373,128.008,236260,4,True
444,Regard,Secrets (Remixes),Secrets - Tom Field Remix,4D0AFLieBjqaJnFOBAPA56,0.711,0.922,6,-2.534,0,0.0402,1.74e-05,0.144,0.352,125.979,157619,4,True
445,metr,Need You,Need You,3u5X4i9slPJPDgSnFShmiG,0.65,0.542,3,-11.762,0,0.065,0.017,0.117,0.34,127.996,170747,4,True
446,Stromae,Alors On Danse (DubDogz Remix),Alors On Danse - DubDogz Remix,19eIZmuXlBmLTha1lPHef7,0.789,0.752,1,-4.274,0,0.164,2.69e-05,0.613,0.739,122.98,168577,4,True
447,Dombresky,Soul Sacrifice,Soul Sacrifice,01fVbxyW9y2oKdXvg56uE5,0.847,0.934,9,-5.381,1,0.0442,0.494,0.0797,0.863,126.035,232211,4,True
448,Darius & Finlay,Do It All Night 2k12,Do It All Night 2k12 - Video Mix,7DNTCb60V4Ec42KBZ3QkOK,0.702,0.895,3,-4.287,1,0.0359,0.0,0.445,0.877,127.928,208587,4,True
449,Burak Yeter,Tuesday (feat. Danelle Sandoval),Tuesday (feat. Danelle Sandoval),7EVk9tRb6beJLTHrg6AkY9,0.841,0.639,9,-6.052,0,0.0688,0.0654,0.0545,0.675,99.002,241875,4,True
450,Basshunter,All I Ever Wanted (German Maxi),All I Ever Wanted - Radio Edit,3uoqlATyV5IWOhy0LBF7k1,0.645,0.984,4,-7.051,1,0.0508,0.00701,0.164,0.553,144.954,176453,4,True
451,Danny Chris,Humps,Humps - ELYX VIP Edit,3XpoXxHiVlHzB6Dz7rxrpj,0.788,0.906,11,-6.505,0,0.196,0.267,0.115,0.428,126.027,140957,4,True
452,Avenza,Radiate,Radiate,34AMHq4j8ObJSdgZ5XrHFT,0.657,0.89,8,-6.1,0,0.105,0.00979,0.0959,0.413,115.099,188609,4,True
